sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
0,1048576,4188411,4178584,4144008,4009056,3510962,2036780,151411,-1523,431,-358
1,1048576,4138307,4129100,4096246,3967935,3493544,2074901,159524,1034,2992,-230
2,1048576,4079320,4070479,4039031,3915902,3461679,2104384,196068,3531,-5898,-4711
3,1048576,3999446,3991035,3960997,3843641,3411689,2126254,266018,-7402,-27032,2064
4,1048576,3899344,3891365,3862677,3750791,3340144,2130194,371038,-50931,-1548,2708
5,1048576,3780442,3772896,3745306,3637881,3245208,2105676,499741,-119954,26292,-11624
6,1048576,3645187,3637691,3610947,3506526,3126507,2044267,625809,-163066,11882,6594
7,1048576,3496156,3488776,3462369,3359429,2985778,1940971,712449,-109874,34758,8976
8,1048576,3337017,3329560,3303109,3199997,2826292,1795706,722103,64706,-20796,-27682
9,1048576,3171632,3163971,3137094,3032411,2653178,1613889,628924,289666,-158845,18219
10,1048576,3003936,2996071,2968578,2861303,2472468,1405993,429866,420685,12047,24913
11,1048576,2838188,2830120,2801819,2691572,2291224,1186470,149770,338132,252931,-88136
12,1048576,2678466,2670195,2641150,2527996,2116524,972098,-162173,48719,-17471,126164
13,1048576,2528601,2520191,2490593,2375237,1955327,779806,-444291,-298165,-246785,-118957
14,1048576,2392047,2383562,2353733,2237390,1813651,624314,-638921,-504122,49150,72338
15,1048576,2271632,2263200,2233523,2117730,1696182,516148,-708535,-457033,141446,-31436
16,1048576,2169614,2161298,2132159,2018646,1605957,460355,-646001,-202782,-99785,20491
17,1048576,2087299,2079229,2051076,1941514,1544038,455988,-475523,97817,-34124,-40862
18,1048576,2025300,2017603,1990823,1886626,1509772,496540,-244294,284828,114610,56914
19,1048576,1983464,1976142,1951057,1853133,1500588,571028,-7747,295564,-15725,-50238
20,1048576,1960556,1953801,1930415,1839352,1512704,665836,185980,178218,-81126,20018
21,1048576,1954767,1948581,1926897,1842583,1540992,766953,307760,32769,8214,6726
22,1048576,1963585,1957905,1937735,1859483,1580064,861757,351975,-62207,21383,-16256
23,1048576,1983857,1978491,1959648,1886256,1624206,940807,332956,-85523,2385,7161
24,1048576,2011656,2006735,1988775,1918914,1668527,998931,276302,-62174,11528,2624
25,1048576,2043310,2038450,2021055,1953332,1708896,1035426,208528,-28964,-3644,-6401
26,1048576,2074432,2069634,2052489,1985635,1742710,1053419,149128,-8173,-14020,2301
27,1048576,2100951,2096215,2079194,2012578,1768766,1059106,106990,-1464,-1157,1024
28,1048576,2118976,2114240,2097344,2031360,1787520,1059648,81984,448,1472,-2368
29,1048576,2148224,2143168,2125376,2055936,1799744,1042624,78080,-832,192,-128
30,1048576,2169472,2164224,2145664,2073216,1806720,1027776,80640,0,1024,-192
31,1048576,2184832,2179392,2160192,2085248,1810304,1015808,85440,640,-576,-1216
32,1048576,2196544,2190912,2171136,2094016,1811904,1006080,90368,-192,-2112,-576
33,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
34,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
35,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
36,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
37,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
38,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
39,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
40,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
41,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
42,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
43,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
44,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
45,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
46,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
47,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
48,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
49,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
50,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
51,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
52,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
53,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
54,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
55,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
56,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
57,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
58,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
59,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
60,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
61,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
62,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
63,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
64,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
65,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
66,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
67,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
68,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
69,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
70,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
71,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
72,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
73,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
74,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
75,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
76,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
77,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
78,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
79,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
80,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
81,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
82,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
83,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
84,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
85,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
86,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
87,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
88,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
89,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
90,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
91,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
92,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
93,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
94,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
95,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
96,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
97,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
98,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
99,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
100,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
101,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
102,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
103,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
104,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
105,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
106,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
107,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
108,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
109,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
110,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
111,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
112,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
113,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
114,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
115,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
116,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
117,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
118,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
119,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
120,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
121,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
122,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
123,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
124,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
125,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
126,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
127,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
128,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
129,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
130,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
131,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
132,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
133,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
134,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
135,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
136,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
137,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
138,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
139,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
140,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
141,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
142,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
143,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
144,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
145,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
146,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
147,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
148,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
149,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
150,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
151,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
152,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
153,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
154,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
155,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
156,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
157,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
158,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
159,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
160,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
161,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
162,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
163,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
164,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
165,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
166,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
167,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
168,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
169,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
170,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
171,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
172,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
173,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
174,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
175,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
176,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
177,1048576,2206976,2201216,2180864,2101504,1812352,997248,94976,-2304,-896,-576
