sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
0,1048576,83456,82432,77824,59904,3584,-70656,36864,-16896,9728,0
1,1048576,177152,174592,165376,130048,16384,-148480,76288,-23552,-2560,0
2,1048576,300032,295936,281600,226304,45056,-244224,114688,-18432,-15360,5120
3,1048576,470016,464384,443904,364544,100864,-363008,135168,-11776,-8704,-3072
4,1048576,704000,695808,668160,561152,198656,-499200,103936,-22016,-18944,-3584
5,1048576,1014784,1004544,968704,830976,355840,-635904,-22528,-40448,21504,14336
6,1048576,1413632,1400832,1356800,1186304,589824,-745472,-281088,0,99840,-12800
7,1048576,1907200,1891840,1839616,1636352,917504,-792064,-679936,176640,-8704,-12800
8,1048576,2498560,2480640,2420736,2186752,1351680,-736256,-1181696,455680,-116736,40448
9,1048576,3186176,3166720,3099648,2839040,1901056,-541696,-1697792,622080,-64000,-32768
10,1048576,3965952,3944960,3872256,3589632,2567168,-180224,-2102784,398848,-135168,-33280
11,1048576,4828672,4806656,4729856,4430848,3345408,361984,-2265088,-280064,126464,99840
12,1048576,5762048,5739520,5660160,5350400,4223488,1080832,-2085888,-1091072,624128,-83968
13,1048576,6751744,6728704,6647808,6332416,5183488,1953792,-1534976,-1473536,-114688,-83968
14,1048576,7779840,7756800,7675392,7357952,6201344,2940928,-668160,-1057280,-1051648,331776
15,1048576,8827904,8804864,8723456,8406016,7249408,3988992,379904,-9216,-3584,-526336
16,1048576,9875968,9852928,9771520,9454080,8297472,5037056,1427968,1038848,1044480,521728
17,1048576,10904064,10881024,10799104,10479616,9315328,6024192,2294784,1455104,107520,-336384
18,1048576,11893760,11870208,11786752,11461632,10275328,6897152,2845696,1072640,-631296,79360
19,1048576,12827136,12803072,12717056,12381184,11153408,7616000,3024896,261632,-133632,79360
20,1048576,13689856,13664768,13574656,13222400,11931648,8158208,2862592,-417280,128000,-104448
21,1048576,14469632,14443008,14347264,13972992,12597760,8519680,2457600,-640512,56832,28672
22,1048576,15157248,15129088,15026176,14625280,13147136,8714240,1941504,-474112,109568,28160
23,1048576,15748608,15717888,15607296,15175680,13581312,8770048,1439744,-195072,1536,-45056
24,1048576,16242176,16208896,16090112,15625728,13908992,8723456,1040896,-18432,-107008,8192
25,1048576,16641024,16605184,16478208,15981056,14142976,8613888,782336,22016,-28672,8192
26,1048576,16951808,16913920,16778752,16250880,14300160,8477184,655872,3584,11776,-18944
27,1048576,17185792,17145344,17003008,16447488,14397952,8340992,624640,-6656,1536,-1024
28,1048576,17355776,17313792,17165312,16585728,14453760,8222208,645120,0,8192,-1536
29,1048576,17478656,17435136,17281536,16681984,14482432,8126464,683520,5120,-4608,-9728
30,1048576,17572352,17527296,17369088,16752128,14495232,8048640,722944,-1536,-16896,-4608
31,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
32,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
33,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
34,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
35,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
36,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
37,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
38,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
39,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
40,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
41,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
42,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
43,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
44,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
45,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
46,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
47,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
48,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
49,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
50,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
51,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
52,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
53,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
54,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
55,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
56,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
57,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
58,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
59,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
60,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
61,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
62,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
63,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
64,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
65,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
66,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
67,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
68,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
69,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
70,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
71,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
72,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
73,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
74,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
75,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
76,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
77,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
78,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
79,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
80,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
81,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
82,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
83,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
84,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
85,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
86,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
87,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
88,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
89,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
90,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
91,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
92,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
93,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
94,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
95,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
96,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
97,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
98,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
99,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
100,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
101,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
102,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
