sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
0,1389860,2148224,2143168,2125376,2055936,1799744,1042624,78080,-832,192,-192
1,-7774591,2118976,2114240,2097344,2031360,1787520,1059648,81984,448,1472,-128
2,-8071671,2093955,2089305,2072670,2007557,1768465,1065029,103899,-48,-1973,-2368
3,-1026461,1968448,1964983,1953642,1909318,1737423,1143022,102478,12252,-24428,1024
4,-4621555,1821794,1820109,1814141,1790257,1687102,1220506,114320,-1110,99,1872
5,-2123379,1708566,1707818,1703679,1687029,1613310,1241864,168046,-54435,37295,-11735
6,-4029339,1514248,1514150,1514717,1516872,1508070,1293060,220961,-82733,7699,6100
7,3625490,1294524,1296192,1300458,1316685,1361697,1310121,310360,-44811,31661,14283
8,-793855,1003993,1006837,1016170,1050791,1165580,1312511,431183,72506,-26684,-35487
9,-2634483,737479,740297,749763,785935,916035,1200698,630763,135779,-197486,21106
10,2355574,383375,387127,398500,444220,611697,1051748,844761,27965,19687,42556
11,-7484099,-17443,-13111,477,54524,253777,823402,1042466,-258407,303965,-103805
12,-2861075,-388963,-385063,-373124,-327174,-147769,452906,1182963,-495432,18317,88386
13,3012492,-865138,-861927,-847295,-791106,-581874,71099,1119547,-324171,-52296,17879
14,-136711,-1296488,-1292422,-1279314,-1227001,-1034000,-419384,847578,291269,-42560,-107405
15,3613894,-1666361,-1663904,-1655002,-1620060,-1484575,-989792,354422,1001261,-644023,38557
16,-555835,-2052322,-2051097,-2044345,-2017722,-1915097,-1526743,-342677,1264330,36133,214557
17,1299114,-2370228,-2369401,-2366628,-2356179,-2308594,-2052355,-1088276,743118,1480675,-488903
18,-5244955,-2681934,-2681780,-2680480,-2675051,-2647247,-2467842,-1752679,-325895,-66791,569426
19,-2985353,-2914981,-2915381,-2916059,-2918299,-2916277,-2794851,-2159602,-1346534,-2002568,-349980
20,3331602,-3144434,-3144291,-3142704,-3135397,-3104580,-2942007,-2259056,-1718727,225795,-67624
21,-1254513,-3283971,-3282652,-3278874,-3264043,-3207483,-2970190,-2018453,-1265430,1953372,509193
22,3172850,-3299214,-3298464,-3294969,-3281303,-3221374,-2909362,-1512711,-224110,-465943,-860656
23,7771854,-3300620,-3299769,-3292580,-3264052,-3152208,-2684868,-929674,949456,-1283445,1072660
24,31464,-3200776,-3197907,-3188941,-3153114,-3009721,-2402562,-370106,1701655,585490,-1060041
25,-3518779,-2997463,-2995874,-2986872,-2952756,-2803797,-2101302,71101,1632801,171638,716202
26,5785948,-2813064,-2809895,-2797520,-2748640,-2548652,-1723968,310997,696527,-458860,-31741
27,-7460675,-2605129,-2599975,-2583603,-2517276,-2260697,-1341701,388343,-704521,936345,-722597
28,-5547987,-2262661,-2257707,-2242924,-2184023,-1949359,-1079455,405349,-1782597,170638,1150869
29,-5822875,-2009358,-2004605,-1985125,-1909478,-1627096,-764153,312672,-1736604,-1472206,-998999
30,-1088925,-1721852,-1715923,-1694123,-1610223,-1308847,-506574,191455,-504056,222996,377343
31,7571210,-1451968,-1444007,-1420236,-1327582,-1005682,-266170,36927,1174870,1132481,359396
32,3875456,-1172042,-1166661,-1142463,-1049222,-729307,-58544,-121291,2142173,-683330,-898809
33,6562080,-869673,-862845,-842494,-763034,-486573,96674,-226030,1678932,-169360,1133777
34,7882154,-679810,-673317,-651795,-568879,-283722,307799,-262720,90898,1020597,-1062178
35,-3355491,-420796,-416326,-400745,-340864,-123551,404380,-78499,-1625837,-800410,695372
36,2113174,-170172,-167544,-159557,-129833,-5466,431206,316863,-2401060,-829476,-82383
37,-8144877,-100605,-97597,-89479,-54502,79048,522627,780842,-1819587,1230821,-521050
38,-4442099,68582,69942,72465,84078,138887,441024,1272229,-360498,-50507,744032
39,-5777837,122399,122259,125479,137980,184318,380074,1483073,1257767,-927919,-415211
40,-6300309,237812,236998,236916,234306,221659,220413,1307453,2332100,1251447,-200584
41,-5887275,251415,251411,252906,258746,259993,136019,618487,2556445,138772,519373
42,1526274,272416,272001,275328,286518,298713,71520,-412549,1806558,-2060446,-146064
43,5652142,269350,271420,276302,294885,332467,78795,-1504385,214051,493566,-764326
44,-5859,230416,233239,241558,272431,353714,174317,-2278509,-1753626,2130444,1594962
45,-3837233,271582,274464,279152,298025,354499,243210,-2346365,-3306420,-559187,-1766105
46,-8107741,177921,179999,187499,216679,319473,436684,-1653216,-3532905,-1632016,1139705
47,615690,-38466,-32694,-18170,38223,240567,692039,-303459,-2114753,253508,-81603
48,7539402,-287709,-282155,-261251,-181173,109745,889440,1372293,346558,909124,-827553
49,3230780,-524610,-518875,-495898,-405808,-73993,941038,2887120,2618814,-46094,1148640
50,6864370,-692510,-686094,-667505,-592653,-304271,769042,3784716,3613022,-209976,-763507
51,3039626,-938988,-935554,-917641,-846971,-572879,494291,3707933,3102074,131208,-113969
52,-3886271,-1079831,-1077701,-1067778,-1031386,-867017,-29624,2734431,1568745,-159094,1070193
53,4928728,-1240841,-1240433,-1238100,-1230358,-1168245,-646585,1075419,-204260,-295465,-1655592
54,2159480,-1474309,-1473892,-1474800,-1473057,-1453618,-1242431,-851757,-1719140,-121422,1653231
55,-7728503,-1511581,-1513617,-1524806,-1565360,-1699045,-1954271,-2474358,-2772197,213166,-1163174
56,-3863061,-1553514,-1557880,-1574867,-1641865,-1877798,-2514054,-3543761,-2948990,968365,540051
57,157110,-1676818,-1681755,-1695124,-1750334,-1970358,-2769142,-3958668,-1844035,281878,-144545
58,4979142,-1639558,-1644431,-1659373,-1718955,-1961847,-2862746,-3679608,320883,-1656660,94393
59,1381294,-1493006,-1498650,-1515673,-1583108,-1847298,-2723328,-2926140,2471809,-1156364,-209132
60,7668412,-1368857,-1373452,-1386000,-1433296,-1624676,-2258355,-1982714,3165640,1425409,185979
61,1039658,-1125310,-1127938,-1137228,-1173811,-1310157,-1649414,-964106,1720358,2110578,127999
62,-2647541,-796731,-798819,-806536,-836124,-926075,-957207,21386,-922111,-374420,-587132
63,-6832527,-474230,-476237,-479114,-490564,-500785,-209148,902764,-2838001,-2489857,821646
64,-900731,-173186,-171033,-167720,-152878,-66212,506297,1651017,-2685411,-589278,-548226
65,-895665,44575,48948,63174,120318,346474,1162541,2183171,-718994,1680382,-141866
66,-3383237,359608,365118,382369,449989,710256,1551275,2487775,1501600,746684,782834
67,406330,614024,620319,640221,718796,1003987,1785421,2408547,2610799,174030,-878363
68,2306686,765685,771570,796090,890512,1214252,1905859,1905436,2301125,-228228,336124
69,-5616875,978021,984174,1004354,1079534,1335306,1795877,1138227,1117899,-2104192,443899
70,-2515983,1060052,1064823,1082907,1149957,1369880,1650746,222248,-229152,-306125,-872832
71,-6534183,1074467,1079447,1093210,1149623,1324663,1448131,-560099,-1473343,3032707,682174
72,2295650,1004885,1009699,1021086,1066673,1205937,1233419,-993887,-2415655,390946,-81702
73,3537740,838150,841493,852735,895797,1028113,1042119,-975390,-2582422,-2572454,-490997
74,-6204001,701608,703157,709770,732650,801238,780689,-498129,-1526676,4491,729906
75,-4611697,529623,530286,531023,533171,538180,512931,217951,573503,1318852,-693769
76,7186936,167743,167947,172398,189385,245142,374511,840005,2643233,-697719,607112
77,-3317577,-241840,-239222,-229926,-193098,-67506,241638,1191108,3289154,-218791,-613480
78,-3909985,-504555,-502570,-496791,-474049,-386295,-48825,1223974,1957617,1379863,702480
79,8229980,-838225,-837488,-831077,-804362,-702764,-309407,853869,-453191,-302179,-768878
80,-3424165,-1109922,-1108969,-1104667,-1088473,-1015025,-643823,265724,-2364253,-1593677,714986
81,-2214007,-1309367,-1307944,-1309296,-1315585,-1310614,-1045355,-346383,-2584669,504237,-504240
82,-5361079,-1644142,-1644725,-1642281,-1631078,-1578859,-1308519,-906431,-1139066,1165534,154537
83,2309840,-1878166,-1877247,-1874887,-1863961,-1816109,-1604273,-1219113,720566,-715263,224449
84,-81705,-2142317,-2139245,-2132676,-2106622,-2014913,-1787309,-1337087,1707077,-636622,-379886
85,-3670959,-2266928,-2267077,-2261154,-2239637,-2166085,-1969817,-1248953,1295429,853990,88342
86,2174870,-2324887,-2324168,-2321079,-2309484,-2265568,-2079052,-1068414,89981,821842,594660
87,1933068,-2474300,-2472312,-2463480,-2429867,-2312797,-1973770,-929924,-812627,-688038,-1230019
88,2936514,-2518260,-2514772,-2503995,-2460785,-2303915,-1836675,-761913,-840938,-1862430,1305696
89,5762504,-2438710,-2436950,-2427470,-2391226,-2247721,-1707450,-538531,-243044,477433,-691680
90,-8234377,-2343223,-2340252,-2332123,-2297641,-2152653,-1530858,-275524,266224,2871650,-144871
91,-856771,-2203988,-2201530,-2194049,-2164317,-2027507,-1360642,43012,212068,-748894,500255
92,842514,-2197338,-2193242,-2177855,-2116525,-1881129,-1074976,300165,-154205,-2805338,-68350
93,327806,-2042254,-2038136,-2021903,-1960679,-1725303,-925146,538299,-324194,1588981,-731201
94,-1736339,-1922227,-1916772,-1898307,-1826150,-1560635,-764646,598867,51580,1505554,1137571
95,-2496711,-1747582,-1742511,-1724048,-1651938,-1392788,-665343,477561,669032,-2375635,-688654
96,-2978017,-1568214,-1563133,-1545685,-1474950,-1226148,-582403,177383,974481,178433,-372961
97,-1313069,-1364305,-1360037,-1343911,-1283567,-1068544,-527815,-200129,647331,2544947,1375842
98,-2543739,-1234943,-1230176,-1213213,-1148723,-920860,-412700,-564173,-124084,-1309874,-1787199
99,1345656,-1110420,-1106066,-1088803,-1021358,-788044,-296624,-755746,-909664,-2065004,1552664
100,-2467493,-1003126,-996195,-979346,-911088,-676112,-176028,-698160,-1306824,1466009,-955265
101,-7648439,-922842,-918211,-900206,-831975,-590952,-45612,-391885,-1117654,1397916,280216
102,-872897,-941377,-935588,-913470,-829603,-534820,130523,68414,-367375,-742297,324520
103,831274,-971139,-963695,-939620,-845277,-515832,264104,592699,619957,-939940,-717586
104,1401688,-1003255,-996441,-972274,-876512,-537569,327572,1044552,1331412,-486992,699169
105,4143238,-1016680,-1011047,-989566,-906734,-601504,282271,1319316,1304685,766982,-168634
106,1707150,-1141433,-1134881,-1112467,-1026494,-707771,229080,1303798,554726,1657748,-670520
107,3142300,-1280558,-1273243,-1251594,-1165587,-849315,80973,1060011,-403654,-631332,1357653
108,3512826,-1357958,-1354279,-1337497,-1271833,-1021645,-213985,691239,-906930,-2182412,-1481248
109,8240166,-1425683,-1422442,-1412644,-1374730,-1214722,-589567,267461,-707644,348037,1022097
110,-6940813,-1585273,-1582206,-1573717,-1540402,-1408629,-924561,-179300,-149939,1782525,-315989
111,-7621469,-1562382,-1562885,-1565312,-1572131,-1580392,-1404384,-498241,155339,-15669,-204690
112,-6707153,-1629052,-1631352,-1636499,-1655765,-1716763,-1744023,-825932,132614,-733948,315066
113,-2977101,-1770338,-1771037,-1771503,-1774780,-1797665,-1902812,-1192223,105338,-1667,-52309
114,-2599329,-1754628,-1755858,-1757218,-1765097,-1808487,-2029796,-1516091,313805,-411636,-355002
115,2690372,-1695185,-1696866,-1698550,-1704344,-1746517,-2001970,-1817995,614162,-420411,625256
116,-459273,-1588995,-1588503,-1589615,-1592419,-1618970,-1819156,-2003883,538802,1214245,-577672
117,-6605109,-1497582,-1496457,-1492696,-1478816,-1438420,-1450940,-1965918,-81504,945687,206639
118,596710,-1413130,-1410948,-1400377,-1361599,-1224656,-956441,-1573630,-894885,-1434754,271265
119,2677594,-1350946,-1345444,-1327543,-1258380,-1007776,-389646,-786136,-1353438,-1109336,-551503
120,-3161815,-1281194,-1273256,-1249883,-1156308,-812519,145336,338770,-1225498,931931,482298
121,-8199443,-1209103,-1200840,-1173363,-1065516,-659328,574984,1601333,-656515,743435,-172311
122,5467354,-1231364,-1221639,-1188004,-1056570,-566995,916599,2675713,170902,272128,-123026
123,-6310299,-1370972,-1358914,-1316177,-1150300,-549342,1141755,3270372,1177399,-28103,282963
124,-7675211,-1283170,-1273795,-1239458,-1106661,-608785,942182,3341301,2070130,-1663268,-389980
125,-4287265,-1425623,-1416593,-1381729,-1245591,-745772,712973,2655153,2408454,-724222,591828
126,-976519,-1636419,-1625862,-1590452,-1451130,-954382,352825,1424039,1575977,2474678,-855446
127,3276612,-1857892,-1846973,-1813497,-1683069,-1222678,-133220,-36955,-343985,1094909,1002142
128,7605456,-2078787,-2071252,-2041832,-1929156,-1535283,-685904,-1371756,-2328653,-2121547,-907872
129,592682,-2298316,-2291099,-2268561,-2180254,-1873332,-1243461,-2263304,-3081627,-753994,666258
130,-610901,-2494875,-2489650,-2474809,-2418421,-2217046,-1765795,-2517453,-2101857,785535,-462664
131,7327502,-2772372,-2769438,-2757611,-2711399,-2544398,-2124491,-2179276,-123747,-253755,358020
132,6139356,-3020884,-3018769,-3009405,-2973929,-2838738,-2389726,-1385523,1424723,852929,-228246
133,6208666,-3187131,-3184912,-3180691,-3160153,-3072537,-2596756,-419444,1657321,1260730,13871
134,-2133251,-3262771,-3264563,-3263950,-3261006,-3226245,-2747510,385690,858603,-2128108,176472
135,-982333,-3192414,-3195206,-3201946,-3227971,-3283843,-2894310,789453,43973,-1357153,-191475
136,978262,-3149383,-3151941,-3157907,-3182792,-3238901,-2888899,596495,28151,2791583,106535
137,7989582,-2985570,-2988244,-2995391,-3020517,-3083910,-2848412,-76845,611567,366863,-204949
138,-2525593,-2696244,-2699122,-2707466,-2737143,-2822366,-2763068,-1028173,942342,-2893513,674270
139,3224586,-2271476,-2273838,-2285005,-2325896,-2457601,-2622911,-1964893,364582,820213,-1285295
140,7322038,-1844515,-1847207,-1855338,-1888118,-2004339,-2298404,-2653204,-869371,2452522,1531329
141,952888,-1312801,-1315542,-1323111,-1357064,-1479718,-1875017,-2829162,-1858862,-990593,-1121491
142,-3045511,-710517,-712424,-722083,-759252,-895098,-1336672,-2417212,-1802288,-1571914,333055
143,2868408,-207899,-208729,-211444,-219585,-267236,-570423,-1550378,-717179,-158085,240955
144,7651220,400120,400457,399985,399513,382817,195257,-325724,519126,537082,-208240
145,-3777133,1060153,1059202,1058783,1052670,1029787,936429,974621,1112312,1697563,-249902
146,4140036,1736372,1735662,1730867,1713890,1659105,1607418,2075275,963734,386592,565446
147,-4732327,2244898,2243793,2243487,2243751,2244413,2298559,2695793,644508,-2370914,-365827
148,-3446309,2798857,2798811,2796759,2788792,2767832,2772133,2845082,568849,-1094433,-213893
149,-205235,3164590,3165425,3169011,3178658,3210160,3193268,2466614,672043,1677238,701463
150,-5195815,3504296,3505964,3509385,3524311,3558642,3411571,1785612,402539,1670142,-771222
