sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
0,3074561,244703,241701,228190,175646,10508,-207173,108090,-49542,28523,0
1,-4347219,-71266,-71525,-65932,-42681,22672,64737,-37236,50531,-76361,0
2,-1460598,-144397,-141106,-130596,-92013,26011,140330,-102201,66142,-138,15012
3,-3584916,-426860,-419356,-393971,-296232,14684,398613,-280098,65325,56440,-45247
4,769156,-448933,-443431,-419471,-326589,-25703,440731,-337716,-54390,9356,25329
5,383908,-616400,-605902,-579210,-472204,-109606,573632,-358722,-49436,190090,48572
6,-3872884,-1209860,-1197965,-1145456,-948226,-280123,1003536,-353902,250246,3690,-121384
7,2035313,-1453604,-1436896,-1389342,-1207706,-551427,1001785,140429,409469,-599902,85155
8,2884682,-1738924,-1727815,-1687171,-1529153,-927787,841590,995545,9150,-69049,110377
9,6243206,-1807631,-1799274,-1785025,-1715178,-1388388,246562,2229135,-1204105,486494,-289511
10,-1288119,-2410020,-2404105,-2382516,-2298313,-1922558,-163102,3228904,-2268128,96952,214600
11,1191190,-2689449,-2688059,-2680104,-2655055,-2481431,-1085820,3935119,-2020596,1106113,243218
12,-3742886,-3218974,-3218565,-3209813,-3175474,-3010717,-1946101,3624378,320828,-57937,-722221
13,-8247929,-3975261,-3972736,-3946170,-3832526,-3476255,-2605358,1945992,3642684,-3803642,553607
14,-677539,-4116866,-4107342,-4091183,-4025527,-3839637,-3623379,-717693,5533003,-504011,801170
15,4270717,-3909782,-3916218,-3919680,-3945650,-4063463,-4600961,-4003050,4609325,6277576,-3335249
16,-2009660,-4233967,-4233823,-4226207,-4198285,-4161561,-4706988,-7362485,1494656,2315062,6088366
17,-5215981,-4805048,-4793820,-4755634,-4614190,-4188401,-4135972,-9573518,-2302987,-7234071,-7596228
18,7278903,-4435682,-4426480,-4412305,-4355628,-4141398,-3952722,-9176980,-5872420,-5896189,6903015
19,6706728,-4136560,-4134482,-4133549,-4126094,-4032105,-3426532,-6252593,-8450947,6204474,-4241867
20,2498272,-4057603,-4053919,-4053084,-4031898,-3877888,-2594940,-1346759,-9003546,10385384,916873
21,1184576,-3882141,-3876676,-3871896,-3859852,-3690990,-1907168,4419899,-5685068,-3955401,1879217
22,-7938840,-4185367,-4185635,-4149260,-4013317,-3459055,-972511,9024879,2405278,-12659445,-3859992
23,-4082827,-4034696,-4027135,-3984289,-3816042,-3185779,-649716,11202359,12045392,2278355,5527598
24,-3698894,-3821839,-3806193,-3758562,-3557855,-2860603,-583281,9806050,17332110,9088305,-6981259
25,-7087636,-3934453,-3919160,-3840917,-3538230,-2535971,-356773,4844359,13903875,-2758589,7269974
