sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
0,0,-8184320,-8204544,-8275712,8223744,7198976,4170496,312320,-3328,768,-768
1,4096,-8301312,-8320256,-8387840,8125440,7150080,4238592,327936,1792,5888,-512
2,8192,8320512,8302592,8239104,7990528,7071488,4306944,391168,11008,-14336,-9472
3,12288,8121128,8104488,8045094,7812893,6954497,4361693,520466,-9225,-53500,4096
4,16384,7874431,7859069,7803766,7587932,6790665,4384917,719927,-97556,771,4096
5,20480,7578897,7564814,7513344,7312843,6573599,4356893,970863,-237085,54780,-22526
6,24576,7235319,7222000,7174105,6986877,6298961,4259436,1228977,-320291,28407,14081
7,28672,6845775,6833220,6788127,6611855,5966002,4078456,1431524,-208686,63982,14335
8,32768,6414910,6402863,6359800,6191653,5577055,3807042,1512665,130751,-66823,-52218
9,36864,5948912,5937115,5895310,5732456,5138303,3447254,1422927,536255,-315607,39680
10,40960,5454996,5443446,5402385,5242247,4658751,3010387,1147139,727573,53797,39673
11,45056,4942168,4930610,4889775,4730547,4150483,2516460,713154,519667,522220,-168179
12,49152,4419691,4408124,4367256,4207901,3627380,1992163,188293,-4061,-1843,260861
13,53248,3897596,3886018,3845115,3685622,3104601,1468043,-336765,-527898,-525941,-263187
14,57344,3385906,3374317,3333632,3175017,2597307,974652,-771279,-736163,-57399,165918
15,61440,2893871,2882528,2842572,2686622,2119369,538700,-1047754,-545464,312313,-41995
16,65536,2430480,2419381,2380666,2229938,1682860,180230,-1138103,-140679,63425,-42036
17,69632,2002919,1992321,1955614,1812922,1296768,-89438,-1057278,198261,-67904,50030
18,73728,1617341,1607500,1573569,1441731,967252,-268227,-854596,309872,-32322,-16787
19,77824,1278355,1269271,1238885,1120203,696615,-363047,-595851,227179,-58180,-16277
20,81920,988000,980184,953598,850120,484076,-388010,-343850,88370,-4111,20167
21,86016,747023,740476,717945,630693,325253,-361346,-143037,574,49852,-6418
22,90112,553862,548583,530106,459074,213707,-302843,-12280,-19523,10619,-6379
23,94208,405155,400888,386463,330618,140941,-230508,52350,-10510,-9542,7138
24,98304,295228,292228,281340,239137,98196,-158252,69166,-5703,-4395,-1808
25,102400,217637,215391,207525,177158,76712,-94605,59874,-9263,-7669,-1539
26,106496,163887,162394,157034,136440,69007,-42450,41377,-11918,-1268,2535
27,110592,124970,124228,121114,108998,69399,721,22173,-8599,4823,-21
28,114688,91367,91120,90248,86849,74512,40255,4123,-140,-55,-17
29,118784,99644,99379,98441,94784,81495,44394,4443,-138,-49,-26
30,122880,108036,107751,106743,102815,88525,48467,4748,-142,-48,-26
31,126976,116510,116205,115125,110914,95583,52482,5063,-142,-44,-27
32,131072,125045,124718,123563,119059,102654,56450,5397,-139,-46,-32
33,135168,133625,133276,132044,127239,109732,60380,5750,-140,-55,-34
34,139264,142246,141875,140563,135448,116811,64275,6121,-149,-58,-36
35,143360,150867,150473,149082,143657,123891,68171,6492,-158,-62,-39
36,147456,159488,159072,157601,151866,130970,72066,6863,-167,-65,-41
37,151552,168109,167670,166120,160075,138050,75962,7234,-176,-69,-43
38,155648,176730,176269,174639,168284,145129,79857,7605,-185,-72,-45
39,159744,185351,184867,183158,176493,152209,83753,7976,-194,-76,-48
40,163840,193972,193466,191677,184702,159288,87648,8347,-203,-79,-50
41,167936,202593,202064,200196,192911,166368,91544,8718,-212,-83,-52
42,172032,211214,210663,208715,201120,173447,95439,9089,-221,-86,-54
43,176128,219835,219261,217234,209329,180527,99335,9460,-230,-90,-57
44,180224,228456,227860,225753,217538,187606,103230,9831,-239,-93,-59
45,184320,237077,236458,234272,225747,194686,107126,10202,-248,-97,-61
46,188416,245698,245057,242791,233956,201765,111021,10573,-257,-100,-63
47,192512,254319,253655,251310,242165,208845,114917,10944,-266,-104,-66
48,196608,262940,262254,259829,250374,215924,118812,11315,-275,-107,-68
49,200704,271561,270852,268348,258583,223004,122708,11686,-284,-111,-70
50,204800,280182,279451,276867,266792,230083,126603,12057,-293,-114,-72
51,208896,288803,288049,285386,275001,237163,130499,12428,-302,-118,-75
52,212992,297424,296648,293905,283210,244242,134394,12799,-311,-121,-77
53,217088,306045,305246,302424,291419,251322,138290,13170,-320,-125,-79
54,221184,314666,313845,310943,299628,258401,142185,13541,-329,-128,-81
55,225280,323287,322443,319462,307837,265481,146081,13912,-338,-132,-84
56,229376,331908,331042,327981,316046,272560,149976,14283,-347,-135,-86
