sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
0,0,0,0,0,0,0,0,0,0,0,0
1,4096,326,322,304,234,14,-276,144,-66,38,0
2,8192,1018,1004,950,742,78,-856,442,-158,28,0
3,12288,2190,2160,2050,1626,254,-1810,890,-230,-32,20
4,16384,4026,3974,3784,3050,648,-3228,1418,-276,-66,8
5,20480,6776,6692,6394,5242,1424,-5178,1824,-362,-140,-6
6,24576,10740,10616,10178,8488,2814,-7662,1736,-520,-56,50
7,28672,16262,16088,15478,13122,5118,-10574,638,-520,334,0
8,32768,23712,23478,22664,19514,8702,-13668,-2018,170,300,-50
9,36864,33472,33168,32120,28056,13982,-16544,-6634,1950,-156,108
10,40960,45918,45538,44228,39146,21408,-18660,-13266,4380,-406,-20
11,45056,61410,60948,59354,53168,31436,-19364,-21480,5938,-934,-150
12,49152,80272,79724,77830,70476,44504,-17950,-30328,4844,-440,240
13,53248,102780,102144,99940,91376,61002,-13728,-38476,582,1998,-88
14,57344,129154,128428,125908,116112,81250,-6096,-44472,-5174,1550,-416
15,61440,159544,158728,155890,144854,105474,5392,-47082,-9304,-2558,880
16,65536,194028,193122,189966,177690,133792,20974,-45598,-9340,-2572,-1176
17,69632,232606,231610,228136,214620,166204,40650,-40020,-5282,1508,862
18,73728,275200,274114,270320,255556,202592,64182,-31056,402,1928,-452
19,77824,321660,320482,316362,300328,242730,91124,-19940,4592,-538,-142
20,81920,371766,370494,366038,348692,286298,120874,-8124,5614,-1060,168
21,86016,425242,423872,419064,400342,332906,152742,3058,3984,-560,-240
22,90112,481764,480290,475108,454924,382116,186022,12658,1482,-338,-128
23,94208,540972,539388,533804,512054,433472,220062,20242,-370,90,-18
24,98304,602490,600786,594770,571334,486524,254320,25866,-1132,96,-194
25,102400,665936,664102,657622,632372,540856,288396,29932,-1204,-322,-162
26,106496,730940,728966,721990,694798,596102,322044,32988,-1118,-434,-130
27,110592,797158,795036,787532,758278,651962,355158,35550,-1104,-388,-204
28,114688,864290,862010,853950,822526,708204,387740,37990,-1130,-382,-208
29,118784,932086,929642,921002,887314,764664,419858,40510,-1130,-350,-214
30,122880,1000362,997748,988508,952478,821236,451602,43180,-1110,-368,-252
31,126976,1069004,1066214,1056356,1017916,877858,483042,46004,-1116,-434,-270
32,131072,1137972,1135002,1124508,1083588,934494,514206,48972,-1188,-462,-288
