sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
0,0,x,x,x,x,x,x,x,x,x,x
1,0,x,x,x,x,x,x,x,x,x,x
2,0,x,x,x,x,x,x,x,x,x,x
3,0,x,x,x,x,x,x,x,x,x,x
4,0,x,x,x,x,x,x,x,x,x,x
5,0,x,x,x,x,x,x,x,x,x,x
6,0,x,x,x,x,x,x,x,x,x,x
7,0,x,x,x,x,x,x,x,x,x,x
8,0,x,x,x,x,x,x,x,x,x,x
9,0,x,x,x,x,x,x,x,x,x,x
10,0,x,x,x,x,x,x,x,x,x,x
11,0,x,x,x,x,x,x,x,x,x,x
12,0,x,x,x,x,x,x,x,x,x,x
13,0,x,x,x,x,x,x,x,x,x,x
14,0,x,x,x,x,x,x,x,x,x,x
15,0,x,x,x,x,x,x,x,x,x,x
16,0,x,x,x,x,x,x,x,x,x,x
17,0,x,x,x,x,x,x,x,x,x,x
18,0,x,x,x,x,x,x,x,x,x,x
19,0,x,x,x,x,x,x,x,x,x,x
20,0,x,x,x,x,x,x,x,x,x,x
21,0,x,x,x,x,x,x,x,x,x,x
22,0,x,x,x,x,x,x,x,x,x,x
23,0,x,x,x,x,x,x,x,x,x,x
24,0,x,x,x,x,x,x,x,x,x,x
25,0,x,x,x,x,x,x,x,x,x,x
26,0,x,x,x,x,x,x,x,x,x,x
27,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0
80,4194304,0,0,0,0,0,0,0,0,0,0
81,4194304,0,0,0,0,0,0,0,0,0,0
82,4194304,41728,41216,38912,29952,1792,-35328,18432,-8448,4864,0
83,4194304,88576,87296,82688,65024,8192,-74240,38144,-11776,-1280,0
84,4194304,150016,147968,140800,113152,22528,-122112,57344,-9216,-7680,2560
85,4194304,235008,232192,221952,182272,50432,-181504,67584,-5888,-4352,-1536
86,4194304,352000,347904,334080,280576,99328,-249600,51968,-11008,-9472,-1792
87,4194304,507392,502272,484352,415488,177920,-317952,-11264,-20224,10752,7168
88,4194304,706816,700416,678400,593152,294912,-372736,-140544,0,49920,-6400
89,4194304,953600,945920,919808,818176,458752,-396032,-339968,88320,-4352,-6400
90,4194304,1249280,1240320,1210368,1093376,675840,-368128,-590848,227840,-58368,20224
91,4194304,1593088,1583360,1549824,1419520,950528,-270848,-848896,311040,-32000,-16384
92,4194304,1982976,1972480,1936128,1794816,1283584,-90112,-1051392,199424,-67584,-16640
93,4194304,2414336,2403328,2364928,2215424,1672704,180992,-1132544,-140032,63232,49920
94,4194304,2881024,2869760,2830080,2675200,2111744,540416,-1042944,-545536,312064,-41984
95,4194304,3375872,3364352,3323904,3166208,2591744,976896,-767488,-736768,-57344,-41984
96,4194304,3889920,3878400,3837696,3678976,3100672,1470464,-334080,-528640,-525824,165888
97,4194304,4413952,4402432,4361728,4203008,3624704,1994496,189952,-4608,-1792,-263168
98,4194304,4937984,4926464,4885760,4727040,4148736,2518528,713984,519424,522240,260864
99,4194304,5452032,5440512,5399552,5239808,4657664,3012096,1147392,727552,53760,-168192
100,4194304,5946880,5935104,5893376,5730816,5137664,3448576,1422848,536320,-315648,39680
101,4194304,6413568,6401536,6358528,6190592,5576704,3808000,1512448,130816,-66816,39680
102,4194304,6844928,6832384,6787328,6611200,5965824,4079104,1431296,-208640,64000,-52224
103,4194304,7234816,7221504,7173632,6986496,6298880,4259840,1228800,-320256,28416,14336
104,4194304,7578624,7564544,7513088,7312640,6573568,4357120,970752,-237056,54784,14080
105,4194304,7874304,7858944,7803648,7587840,6790656,4385024,719872,-97536,768,-22528
106,4194304,8121088,8104448,8045056,7812864,6954496,4361728,520448,-9216,-53504,4096
107,4194304,8320512,8302592,8239104,7990528,7071488,4306944,391168,11008,-14336,4096
108,4194304,-8301312,-8320256,-8387840,8125440,7150080,4238592,327936,1792,5888,-9472
109,4194304,-8184320,-8204544,-8275712,8223744,7198976,4170496,312320,-3328,768,-512
110,4194304,-8099328,-8120320,-8194560,8292864,7226880,4111104,322560,0,4096,-768
111,4194304,-8037888,-8059648,-8136448,8340992,7241216,4063232,341760,2560,-2304,-4864
