sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0
80,4194304,333824,329728,311296,239616,14336,-282624,147456,-67584,38912,0
81,4194304,708608,698368,661504,520192,65536,-593920,305152,-94208,-10240,0
82,4194304,1200128,1183744,1126400,905216,180224,-976896,458752,-73728,-61440,20480
83,4194304,1880064,1857536,1775616,1458176,403456,-1452032,540672,-47104,-34816,-12288
84,4194304,2816000,2783232,2672640,2244608,794624,-1996800,415744,-88064,-75776,-14336
85,4194304,4059136,4018176,3874816,3323904,1423360,-2543616,-90112,-161792,86016,57344
86,4194304,5654528,5603328,5427200,4745216,2359296,-2981888,-1124352,0,399360,-51200
87,4194304,7628800,7567360,7358464,6545408,3670016,-3168256,-2719744,706560,-34816,-51200
88,4194304,9994240,9922560,9682944,8747008,5406720,-2945024,-4726784,1822720,-466944,161792
89,4194304,12744704,12666880,12398592,11356160,7604224,-2166784,-6791168,2488320,-256000,-131072
90,4194304,15863808,15779840,15489024,14358528,10268672,-720896,-8411136,1595392,-540672,-133120
91,4194304,19314688,19226624,18919424,17723392,13381632,1447936,-9060352,-1120256,505856,399360
92,4194304,23048192,22958080,22640640,21401600,16893952,4323328,-8343552,-4364288,2496512,-335872
93,4194304,27006976,26914816,26591232,25329664,20733952,7815168,-6139904,-5894144,-458752,-335872
94,4194304,31119360,31027200,30701568,29431808,24805376,11763712,-2672640,-4229120,-4206592,1327104
95,4194304,35311616,35219456,34893824,33624064,28997632,15955968,1519616,-36864,-14336,-2105344
96,4194304,39503872,39411712,39086080,37816320,33189888,20148224,5711872,4155392,4177920,2086912
97,4194304,43616256,43524096,43196416,41918464,37261312,24096768,9179136,5820416,430080,-1345536
98,4194304,47575040,47480832,47147008,45846528,41101312,27588608,11382784,4290560,-2525184,317440
99,4194304,51308544,51212288,50868224,49524736,44613632,30464000,12099584,1046528,-534528,317440
100,4194304,54759424,54659072,54298624,52889600,47726592,32632832,11450368,-1669120,512000,-417792
101,4194304,57878528,57772032,57389056,55891968,50391040,34078720,9830400,-2562048,227328,114688
102,4194304,60628992,60516352,60104704,58501120,52588544,34856960,7766016,-1896448,438272,112640
103,4194304,62994432,62871552,62429184,60702720,54325248,35080192,5758976,-780288,6144,-180224
104,4194304,64968704,64835584,64360448,62502912,55635968,34893824,4163584,-73728,-428032,32768
105,4194304,66564096,66420736,65912832,63924224,56571904,34455552,3129344,88064,-114688,32768
106,4194304,67807232,67655680,67115008,65003520,57200640,33908736,2623488,14336,47104,-75776
107,4194304,68743168,68581376,68012032,65789952,57591808,33363968,2498560,-26624,6144,-4096
108,4194304,69423104,69255168,68661248,66342912,57815040,32888832,2580480,0,32768,-6144
109,4194304,69914624,69740544,69126144,66727936,57929728,32505856,2734080,20480,-18432,-38912
110,4194304,70289408,70109184,69476352,67008512,57980928,32194560,2891776,-6144,-67584,-18432
111,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
112,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
113,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
114,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
